DOI,repo-url,repo
10.5334/johd.74,https://doi.org/10.5281/zenodo.5862904,Zenodo
10.5334/johd.67,https://www.loc.gov/search/?fa=contributor:by+the+people+%28program%29
10.5334/johd.68,https://doi.org/10.7910/DVN/PAGGQS,Dataverse
10.5334/johd.56,https://doi.org/10.23636/r7d4-kw08,British Library
10.5334/johd.65,https://reubenjpitts.github.io/Corpus-of-the-Epigraphy-of-the-Italian-Peninsula-in-the-1st-Millennium-BCE/,GitHub
10.5334/johd.55,https://doi.org/10.5281/zenodo.5074307,Zenodo
10.5334/johd.49,https://doi.org/10.17026/dans-zqk-zmqs,Dans
10.5334/johd.36,https://zenodo.org/record/4571507,Zenodo
10.5334/johd.39,https://zenodo.org/record/4583802,Zenodo
10.5334/johd.35,https://www.dwds.de/d/korpora/it_blogs,DWDS
10.5334/johd.42,https://zenodo.org/record/4707812#.YK-Tai8ivs0,Zenodo
10.5334/johd.34,https://doi.org/10.5281/zenodo.4562336,Zenodo
10.5334/johd.26,http://doi.org/10.1184/R1/12987959.v1,Figshare-Inst
10.5334/johd.30,https://doi.org/10.5281/zenodo.4315208,Zenodo
10.5334/johd.33,https://doi.org/10.34740/kaggle/dsv/2250730,Kaggle
10.5334/johd.32,https://osf.io/ck3gd/,OSF
10.5334/johd.24,https://doi.org/10.5281/zenodo.4557828,Zenodo
10.5334/johd.28,https://doi.org/10.5281/zenodo.3824950,Zenodo
10.5334/johd.25,https://datashare.ed.ac.uk/handle/10283/3866,DataShare
10.5334/johd.27,https://doi.org/10.7910/DVN/IU1XFO,Dataverse
10.5334/johd.20,https://doi.org/10.17605/OSF.IO/6V9ZF,OSF
10.5334/johd.19,https://digital.library.illinois.edu/collections/38ec6eb0-18c3-0135-242c-0050569601ca-1,Illinois Library
10.5334/johd.17,https://doi.org/10.6084/m9.figshare.12333290,Figshare
10.5334/johd.15,https://repository.upenn.edu/judaica_americana/2/,UPenn Library
10.5334/johd.13,https://zenodo.org/record/3596076#.XlZ7CxP7Su4,Zenodo
10.5334/johd.11,https://figshare.com/articles/BNCspoken2014_dative_dataset_v1_csv/7353164,Figshare
10.5334/johd.9,https://github.com/dhlab-epfl/LinkedBooksReferenceParsing,GitHub
10.5334/johd.8,https://doi.org/10.5281/zenodo.200399,Zenodo
10.5334/johd.4,http://hdl.handle.net/1969.1/156315,Texas Library
10.5334/johd.6,https://dx.doi.org/10.6084/m9.figshare.3493103,Figshare
10.5334/johd.2,http://dx.doi.org/10.6084/m9.figshare.1305596,Figshare
10.5334/johd.1,https://zenodo.org/record/31026,Zenodo
