DOI,repo-name,repourl,views,unique-views,downloads,unique-downloads
10.5334/johd.1,Zenodo,https://zenodo.org/record/31026#.YNCwuUwo9EY,2690,2526,964,765
10.5334/johd.2,Figshare,http://dx.doi.org/10.6084/m9.figshare.1305596,5718,NA,862,NA
10.5334/johd.4,Other,http://hdl.handle.net/1969.1/156315,819,NA,NA,NA
10.5334/johd.6,Figshare,https://dx.doi.org/10.6084/m9.figshare.3493103,724,NA,4909,NA
10.5334/johd.7,Other,https://earlyracefilm.github.io/database/,NA,NA,NA,NA
10.5334/johd.8,Zenodo,https://doi.org/10.5281/zenodo.200399,246,225,15,14
10.5334/johd.9,Zenodo,http://doi.org/10.5281/zenodo.579679,132,124,22,17
10.5334/johd.10,Figshare,https://doi.org/10.6084/m9.figshare.5398537,998,NA,189,NA
10.5334/johd.11,Figshare,https://doi.org/10.6084/m9.figshare.7353164.v6,656,NA,235,NA
10.5334/johd.12,Zenodo,https://doi.org/10.5281/zenodo.3741500,385,312,47,45
10.5334/johd.13,Zenodo,https://doi.org/10.5281/zenodo.3596076,199,169,18,18
10.5334/johd.14,Zenodo,https://zenodo.org/record/3667486,1078,790,74,61
10.5334/johd.15,Other,https://repository.upenn.edu/judaica_americana/2/,NA,NA,239,NA
10.5334/johd.16,Dataverse,https://doi.org/10.7910/DVN/4JQRCL/GZLWGZ,NA,NA,8504,NA
10.5334/johd.17,Figshare,https://doi.org/10.6084/m9.figshare.12333290.v1,962,NA,189,NA
10.5334/johd.19,Other,https://digital.library.illinois.edu/collections/38ec6eb0-18c3-0135-242c-0050569601ca-1,NA,NA,NA,NA
10.5334/johd.20,OSF,https://doi.org/10.17605/OSF.IO/6V9ZF,NA,NA,NA,NA
10.5334/johd.21,Dataverse,https://doi.org/10.18738/T8/VSWAJY,602,NA,14,NA
10.5334/johd.22,Zenodo,https://zenodo.org/record/4301658,2525,2469,2315,2297
10.5334/johd.23,Other,https://doi.org/10.23636/1136,NA,NA,NA,NA
10.5334/johd.24,Zenodo,https://doi.org/10.5281/zenodo.4557828,445,403,215,201
10.5334/johd.25,DataShare,https://datashare.ed.ac.uk/handle/10283/3866,204,NA,NA,NA
10.5334/johd.27,Dataverse,https://doi.org/10.7910/DVN/IU1XFO,NA,NA,20,NA
10.5334/johd.28,Zenodo,https://doi.org/10.5281/zenodo.3824950,1790,1611,196,173
10.5334/johd.24,Zenodo,https://doi.org/10.5281/zenodo.4557828,445,403,215,201
10.5334/johd.44,Dataverse,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QD94F9,NA,NA,65,NA
10.5334/johd.31,OSF,https://osf.io/ck3gd/,NA,NA,NA,NA
10.5334/johd.32,OSF,https://osf.io/ck3gd/,NA,NA,NA,NA
10.5334/johd.33,Kaggle,https://doi.org/10.34740/kaggle/dsv/2250730,2939,NA,218,NA
10.5334/johd.30,Zenodo,https://doi.org/10.5281/zenodo.4315208,598,498,77,60
10.5334/johd.26,Figshare-Inst,https://kilthub.cmu.edu/articles/dataset/DH_Conference_Index_Data_-_9_22_2020/12987959/1,2642,NA,1036,NA
10.5334/johd.46,Zenodo,https://doi.org/10.5281/zenodo.4905560,55,49,8,4
10.5334/johd.46,Zenodo,https://doi.org/10.5281/zenodo.4746341,310,266,37,24
10.5334/johd.34,Zenodo,https://doi.org/10.5281/zenodo.4562336,272,181,28,26
10.5334/johd.42,Zenodo,https://doi.org/10.5281/zenodo.4707811,90,75,10,10
10.5334/johd.35,Zenodo,https://doi.org/10.5281/zenodo.4569733,39,34,10,8
10.5334/johd.45,Zenodo,https://doi.org/10.5281/zenodo.4748989,106,77,25,17
10.5334/johd.39,Zenodo,https://zenodo.org/record/4583802,333,295,117,108
10.5334/johd.48,Zenodo,http://doi.org/10.5281/zenodo.4782245,423,323,380,184
10.5334/johd.36,Zenodo,https://zenodo.org/record/4571507,143,133,115,99
10.5334/johd.47,Dataverse,https://doi.org/10.7910/DVN/5TEA5A,NA,NA,173,NA
10.5334/johd.49,DANS,https://doi.org/10.17026/dans-zqk-zmqs,NA,NA,NA,NA
10.5334/johd.55,Zenodo,https://doi.org/10.5281/zenodo.5074307,248,198,23,23
10.5334/johd.57,Dataverse,https://doi.org/10.7910/DVN/BYPOOR,NA,NA,134,NA
10.5334/johd.65,Zenodo,https://zenodo.org/record/5602978#.YkWwoihBwdV,155,106,120,75
10.5334/johd.56,Other,https://bl.iro.bl.uk/concern/datasets/f3686eb9-4227-45cb-9acb-0453d35e6a03,NA,NA,NA,NA
10.5334/johd.68,Dataverse,https://doi.org/10.7910/DVN/PAGGQS,NA,NA,14,NA
10.5334/johd.67,Other,https://www.loc.gov/search/?fa=contributor:by+the+people+%28program%29,NA,NA,NA,NA
10.5334/johd.71,Dataverse,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HAKKUA,NA,NA,102,NA
10.5334/johd.74,Zenodo,https://zenodo.org/record/6220409#.YkWz-ihBwdU,181,134,72,30
10.5334/johd.62,Zenodo,https://doi.org/10.5281/zenodo.5591908,186,155,64,40
